City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Khani,GE,1/26/2022 22:37,41.9563,42.9566,29.77,95,100,2.39
157,Port Lincoln,AU,1/26/2022 22:37,-34.7333,135.8667,69.69,85,39,8.23
158,Ponta Do Sol,PT,1/26/2022 22:37,32.6667,-17.1,60.71,69,82,7.11
159,Mumford,GH,1/26/2022 22:37,5.2618,-0.759,78.03,80,0,5.17
160,Cabo San Lucas,MX,1/26/2022 22:37,22.8909,-109.9124,76.51,43,0,9.22
161,Codrington,AU,1/26/2022 22:37,-38.2667,141.9667,76.41,76,40,3.06
162,Iralaya,HN,1/26/2022 22:37,15,-83.2333,80.69,73,33,6.4
163,Saint-Francois,FR,1/26/2022 22:37,46.4154,3.9054,26.67,93,100,2.3
164,Kaduna,NG,1/26/2022 22:37,10.5222,7.4383,67.01,19,0,9.86
165,Leh,IN,1/26/2022 22:37,34.1667,77.5833,-5.96,90,99,3.53
166,Ahipara,NZ,1/26/2022 22:37,-35.1667,173.1667,71.82,61,80,14.34
167,Gornopravdinsk,RU,1/26/2022 22:37,60.05,69.9,3.09,96,99,5.23
168,Yubari,JP,1/26/2022 22:37,43.0378,141.9578,23.34,89,85,2.24
169,Simao,CN,1/26/2022 22:37,22.7886,100.9748,50.68,92,87,0.29
170,Hamilton,US,1/26/2022 22:37,39.1834,-84.5333,24.78,47,0,0
171,Port Alfred,ZA,1/26/2022 22:37,-33.5906,26.891,73.08,90,94,4.47
172,Guerrero Negro,MX,1/26/2022 22:33,27.9769,-114.0611,67.86,41,100,9.44
173,Novyy Urengoy,RU,1/26/2022 22:37,66.0833,76.6333,-0.71,96,100,10.63
174,Sola,VU,1/26/2022 22:37,-13.8833,167.55,84.87,74,75,3.44
175,Saint George,US,1/26/2022 22:37,37.1041,-113.5841,54.43,23,0,1.01
176,Bergama,TR,1/26/2022 22:37,39.1207,27.1805,27.72,65,8,4.97
177,Kitgum,UG,1/26/2022 22:37,3.2783,32.8867,73.85,33,8,5.61
178,Barrow,US,1/26/2022 22:35,71.2906,-156.7887,-11.18,70,0,17.27
179,Shache,CN,1/26/2022 22:37,38.4167,77.2406,28.71,54,6,4.29
180,Rumuruti,KE,1/26/2022 22:37,0.267,36.5389,54.41,79,0,4.14
181,Pangody,RU,1/26/2022 22:35,65.85,74.4859,-0.58,97,100,10.2
182,Khuzdar,PK,1/26/2022 22:37,27.7384,66.6434,43.12,30,0,6.26
183,Luganville,VU,1/26/2022 22:37,-15.5333,167.1667,86.85,70,88,10.78
184,Toda Raisingh,IN,1/26/2022 22:37,26.0252,75.4849,47.57,49,0,3.78
185,Isangel,VU,1/26/2022 22:37,-19.55,169.2667,84.31,89,75,3.44
