City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
182,Carnarvon,AU,69.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
183,Santa Marta De Tormes,ES,57.22,clear sky,40.9506,-5.6272,Hotel Alameda Palace
184,Asau,RO,52.72,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
185,Kavieng,PG,82.02,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
186,Balkanabat,TM,77.07,overcast clouds,39.5108,54.3671,Nebitchi Hotel
188,Srikakulam,IN,83.17,scattered clouds,18.3,83.9,Micro Systems
189,Cidreira,BR,55.06,scattered clouds,-30.1811,-50.2056,Hotel Castelo
190,Dingle,PH,77.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
191,Am Timan,TD,87.85,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
192,Kismayo,SO,79.48,few clouds,-0.3582,42.5454,Agan-Hotel
193,Augusto Correa,BR,78.64,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
194,Atambua,ID,70.75,few clouds,-9.1061,124.8925,Kost Alfa Flat
195,Brandon,US,87.26,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
197,Quartucciu,IT,69.01,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
198,Kaitangata,NZ,52.23,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
200,Yulara,AU,58.96,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
201,Dhidhdhoo,MV,81.39,overcast clouds,6.8833,73.1,Dhidhoo beach
202,Kodar,IN,84.7,overcast clouds,16.9833,79.9667,Hotel Athidhi Grand
203,Saint-Paul,RE,73.49,few clouds,-21.0096,55.2707,Boucan Canot
204,Morbach,DE,57.85,clear sky,49.8167,7.1167,Boardinghouse Morbach
205,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
206,Arraial Do Cabo,BR,73.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
207,Loreto,MX,85.44,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
209,Abu Kamal,SY,76.75,overcast clouds,34.4506,40.9171,البوكمال
210,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
211,Mount Gambier,AU,50.54,overcast clouds,-37.8333,140.7667,The Commodore
212,Bend,US,66.99,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
214,Santa Rosa,PH,80.58,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
215,Ashland,US,70.83,scattered clouds,40.8167,-82.2665,SureStay
218,Celestun,MX,82.26,clear sky,20.8667,-90.4,Posada Lilia
220,Port Macquarie,AU,63.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
221,Ostrow Mazowiecka,PL,51.76,overcast clouds,52.8024,21.8951,Usługi Hotelowe 17- Realizujemy bon turystyczny
223,Claudio,BR,60.42,clear sky,-20.4433,-44.7658,Hotel 3 Irmãos
224,Prata,BR,64.92,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
229,Benguela,AO,76.15,clear sky,-12.5763,13.4055,Hotel Praia Morena
230,Sola,VU,80.94,overcast clouds,-13.8833,167.55,Leumerus Bungalows
231,Kloulklubed,PW,79.3,few clouds,7.0419,134.2556,Storyboard Beach Resort
232,Kharan,PK,80.33,clear sky,28.5833,65.4167,Dil Aram Bangla
233,Manakara,MG,70.16,moderate rain,-22.1333,48.0167,La Residence Manakara
234,Waddan,LY,78.82,broken clouds,29.1614,16.139,محل الشريف محمد العايب
235,Katobu,ID,75.24,overcast clouds,-4.9408,122.5276,La Ode Husein
237,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
238,Farafangana,MG,69.93,moderate rain,-22.8167,47.8333,Miarina
239,Santa Isabel,BR,63.7,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
242,Dalhousie,IN,60.73,broken clouds,32.5333,75.9833,Hotel Mount View
243,Hit,IQ,77.43,broken clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
244,Anju,KP,52.5,clear sky,39.6178,125.6647,Super Secret Russian Base
245,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Tual,ID,83.84,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
249,Khowst,AF,74.01,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
250,Bud,US,77.2,few clouds,39.447,-86.1758,Ted McQuinn Trust
251,Itarema,BR,78.49,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
253,Westport,US,70.99,broken clouds,41.1415,-73.3579,The Westport Inn
255,Port Augusta,AU,51.04,clear sky,-32.5,137.7667,Majestic Oasis Apartments
256,Kruisfontein,ZA,65.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
258,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
259,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
260,Victoria,HK,69.33,overcast clouds,22.2855,114.1577,Mini Central
261,Eirunepe,BR,74.17,heavy intensity rain,-6.6603,-69.8736,Atrás de você
262,Husavik,IS,52.52,scattered clouds,66.0449,-17.3389,Bjarnabúð
263,Sao Joao Da Barra,BR,70.23,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
266,Acarau,BR,78.89,overcast clouds,-2.8856,-40.12,castelo pizzaria
268,Korla,CN,69.69,overcast clouds,41.7597,86.1469,Gulisitan Hotel
271,Pimenta Bueno,BR,70.92,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
276,Susanville,US,75.04,clear sky,40.4163,-120.653,Comfort Inn & Suites
277,Caravelas,BR,76.39,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
279,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
280,Odweyne,SO,79.48,few clouds,9.4092,45.064,Eng Hiirey House
281,Camopi,GF,75.63,light rain,3.1655,-52.3158,La pousada
282,Sao Felix Do Xingu,BR,76.78,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
283,Meulaboh,ID,76.48,overcast clouds,4.1363,96.1285,Kost Pria
